%==========================================%
% Leap Second Data File                    %
%                                          %
% Compiled by: Ben K. Bradley              %
%                                          %
%                                          %
% Note:                                    %
% GPS time started on 6jan1980 0hr UTC/GPS %
%                                          %
%                                          %
% UTC Date     MJD   GPS-UTC  TAI-UTC      %
%==========================================%

 1972 1  1    41317     0       10
 1972 7  1    41499     0       11
 1973 1  1    41683     0       12
 1974 1  1    42048     0       13
 1975 1  1    42413     0       14
 1976 1  1    42778     0       15
 1977 1  1    43144     0       16
 1978 1  1    43509     0       17
 1979 1  1    43874     0       18
 1980 1  1    44239     0       19
 1981 7	 1    44786     1       20
 1982 7	 1    45151     2       21
 1983 7	 1    45516     3       22
 1985 7	 1    46247     4       23
 1988 1	 1    47161     5       24
 1990 1	 1    47892     6       25
 1991 1	 1    48257     7       26
 1992 7	 1    48804     8       27
 1993 7	 1    49169     9       28
 1994 7	 1    49534     10      29
 1996 1	 1    50083     11      30
 1997 7	 1    50630     12      31
 1999 1	 1    51179     13      32
 2006 1	 1    53736     14      33
 2009 1	 1    54832     15      34
 2012 7  1    56109     16      35
